method,returns,epochs
Vanilla,31.13664596273292,4
Reward to go,26.05699481865285,4
Vanilla,30.628048780487806,5
Reward to go,31.11042944785276,5
Vanilla,36.627737226277375,6
Reward to go,33.13245033112583,6
Vanilla,45.63636363636363,7
Reward to go,35.267605633802816,7
Vanilla,49.31372549019608,8
Reward to go,42.45378151260504,8
Vanilla,58.12643678160919,9
Reward to go,40.5,9
Vanilla,54.380434782608695,10
Reward to go,43.74782608695652,10
Vanilla,61.373493975903614,11
Reward to go,50.08,11
Vanilla,68.78082191780823,12
Reward to go,53.234042553191486,12
Vanilla,70.50704225352112,13
Reward to go,60.433734939759034,13
Vanilla,73.55714285714286,14
Reward to go,60.31325301204819,14
Vanilla,73.1304347826087,15
Reward to go,60.357142857142854,15
Vanilla,85.94915254237289,16
Reward to go,71.55714285714286,16
Vanilla,103.46938775510205,17
Reward to go,72.71014492753623,17
Vanilla,129.02564102564102,18
Reward to go,76.04545454545455,18
Vanilla,112.82222222222222,19
Reward to go,87.5,19
Vanilla,141.27777777777777,20
Reward to go,87.75438596491227,20
Vanilla,130.84615384615384,21
Reward to go,107.12765957446808,21
Vanilla,158.25,22
Reward to go,131.8684210526316,22
Vanilla,179.53571428571428,23
Reward to go,165.06451612903226,23
Vanilla,179.92857142857142,24
Reward to go,164.74193548387098,24
Vanilla,216.84,25
Reward to go,195.92592592592592,25
Vanilla,198.46153846153845,26
Reward to go,185.96296296296296,26
Vanilla,203.0,27
Reward to go,217.58333333333334,27
Vanilla,218.82608695652175,28
Reward to go,223.43478260869566,28
Vanilla,222.52173913043478,29
Reward to go,301.5882352941176,29
Vanilla,230.77272727272728,30
Reward to go,331.3125,30
Vanilla,304.0,31
Reward to go,425.4166666666667,31
Vanilla,319.0625,32
Reward to go,319.875,32
Vanilla,279.27777777777777,33
Reward to go,284.3333333333333,33
Vanilla,299.88235294117646,34
Reward to go,253.55,34
Vanilla,280.5,35
Reward to go,277.8888888888889,35
Vanilla,338.0,36
Reward to go,330.4375,36
Vanilla,303.2352941176471,37
Reward to go,408.0769230769231,37
Vanilla,335.6,38
Reward to go,426.8333333333333,38
Vanilla,353.93333333333334,39
Reward to go,417.0,39
Vanilla,348.73333333333335,40
Reward to go,440.75,40
Vanilla,381.57142857142856,41
Reward to go,456.27272727272725,41
Vanilla,418.7692307692308,42
Reward to go,478.72727272727275,42
Vanilla,386.57142857142856,43
Reward to go,478.6363636363636,43
Vanilla,456.72727272727275,44
Reward to go,479.27272727272725,44
Vanilla,444.75,45
Reward to go,485.0,45
Vanilla,410.7692307692308,46
Reward to go,488.8181818181818,46
Vanilla,401.46153846153845,47
Reward to go,454.0,47
Vanilla,440.5,48
Reward to go,459.8181818181818,48
Vanilla,435.5,49
Reward to go,421.6666666666667,49
Vanilla,444.1666666666667,50
Reward to go,416.9166666666667,50
Vanilla,26.123711340206185,1
Reward to go,21.830434782608695,1
Vanilla,28.99421965317919,2
Reward to go,23.608490566037737,2
Vanilla,33.84,3
Reward to go,25.246231155778894,3
Vanilla,37.78947368421053,4
Reward to go,27.960893854748605,4
Vanilla,41.15573770491803,5
Reward to go,29.791666666666668,5
Vanilla,45.82727272727273,6
Reward to go,36.07194244604317,6
Vanilla,48.592233009708735,7
Reward to go,35.97841726618705,7
Vanilla,49.13725490196079,8
Reward to go,44.70796460176991,8
Vanilla,52.8421052631579,9
Reward to go,43.8,9
Vanilla,59.72941176470588,10
Reward to go,45.11711711711712,10
Vanilla,58.47674418604651,11
Reward to go,49.42156862745098,11
Vanilla,70.64788732394366,12
Reward to go,54.56521739130435,12
Vanilla,66.22077922077922,13
Reward to go,52.166666666666664,13
Vanilla,73.07246376811594,14
Reward to go,57.27272727272727,14
Vanilla,83.75409836065573,15
