,returns,epochs,method
71,101.66,21,GAE
72,108.8695652173913,22,GAE
73,126.725,23,GAE
74,129.66666666666666,24,GAE
75,143.14285714285714,25,GAE
76,155.6060606060606,26,GAE
77,165.61290322580646,27,GAE
78,149.38235294117646,28,GAE
79,204.0,29,GAE
80,255.3,30,GAE
81,265.63157894736844,31,GAE
82,362.64285714285717,32,GAE
83,315.25,33,GAE
84,304.5882352941176,34,GAE
85,283.55555555555554,35,GAE
86,340.6875,36,GAE
87,286.55555555555554,37,GAE
88,345.73333333333335,38,GAE
89,358.6666666666667,39,GAE
90,443.6666666666667,40,GAE
91,492.6363636363636,41,GAE
92,487.3636363636364,42,GAE
93,479.6363636363636,43,GAE
94,455.27272727272725,44,GAE
95,442.3333333333333,45,GAE
96,459.3636363636364,46,GAE
97,421.4166666666667,47,GAE
98,455.90909090909093,48,GAE
99,476.8181818181818,49,GAE
100,27.67032967032967,0,GAE
101,32.577922077922075,1,GAE
102,38.66153846153846,2,GAE
103,35.82142857142857,3,GAE
104,42.24166666666667,4,GAE
105,48.66990291262136,5,GAE
106,49.57425742574257,6,GAE
107,52.15625,7,GAE
108,59.80952380952381,8,GAE
109,72.72463768115942,9,GAE
110,73.89855072463769,10,GAE
111,91.18181818181819,11,GAE
112,88.35087719298245,12,GAE
113,102.46938775510205,13,GAE
114,126.325,14,GAE
115,122.90243902439025,15,GAE
116,168.7,16,GAE
117,159.125,17,GAE
118,165.25,18,GAE
119,228.1818181818182,19,GAE
120,277.7894736842105,20,GAE
121,260.3,21,GAE
122,253.15,22,GAE
123,284.0,23,GAE
124,251.9,24,GAE
125,272.8421052631579,25,GAE
126,301.1764705882353,26,GAE
127,363.2142857142857,27,GAE
128,412.0769230769231,28,GAE
129,390.57142857142856,29,GAE
130,340.8,30,GAE
131,462.1818181818182,31,GAE
132,448.5833333333333,32,GAE
133,373.7857142857143,33,GAE
134,452.0,34,GAE
135,416.46153846153845,35,GAE
136,455.27272727272725,36,GAE
137,473.27272727272725,37,GAE
138,473.3636363636364,38,GAE
139,458.09090909090907,39,GAE
140,500.0,40,GAE
141,485.72727272727275,41,GAE
142,500.0,42,GAE
143,464.3636363636364,43,GAE
144,488.09090909090907,44,GAE
145,497.45454545454544,45,GAE
146,500.0,46,GAE
147,485.0,47,GAE
148,500.0,48,GAE
149,500.0,49,GAE
150,23.171296296296298,0,GAE
151,26.855614973262032,1,GAE
152,30.85276073619632,2,GAE
153,32.87581699346405,3,GAE
154,34.8125,4,GAE
155,43.721739130434784,5,GAE
156,42.10084033613445,6,GAE
157,43.456896551724135,7,GAE
158,52.09278350515464,8,GAE
159,54.03225806451613,9,GAE
160,60.325301204819276,10,GAE
161,60.154761904761905,11,GAE
162,67.97297297297297,12,GAE
163,68.54794520547945,13,GAE
164,80.71428571428571,14,GAE
165,76.02985074626865,15,GAE
166,103.48979591836735,16,GAE
167,105.0625,17,GAE
168,118.55813953488372,18,GAE
169,135.21621621621622,19,GAE
170,125.05,20,GAE
171,144.34285714285716,21,GAE
172,159.5625,22,GAE
173,188.85185185185185,23,GAE
174,218.34782608695653,24,GAE
175,245.8095238095238,25,GAE
176,340.0625,26,GAE
177,280.44444444444446,27,GAE
178,257.4,28,GAE
179,302.3529411764706,29,GAE
180,303.6470588235294,30,GAE
181,317.8125,31,GAE
182,325.25,32,GAE
183,332.5,33,GAE
184,388.46153846153845,34,GAE
185,457.0833333333333,35,GAE
186,456.4166666666667,36,GAE
187,500.0,37,GAE
188,436.4166666666667,38,GAE
189,452.6666666666667,39,GAE
190,441.5833333333333,40,GAE
191,426.8333333333333,41,GAE
192,372.7857142857143,42,GAE
193,426.0833333333333,43,GAE
194,479.27272727272725,44,GAE
195,487.72727272727275,45,GAE
196,448.5833333333333,46,GAE
197,475.45454545454544,47,GAE
198,497.45454545454544,48,GAE
199,472.27272727272725,49,GAE
200,18.928301886792454,0,GAE
201,22.58108108108108,1,GAE
202,25.180904522613066,2,GAE
